,CAD_EVNT_ID,CREATE_DATE,INCIDENT_DATE,INCIDENT_TIME,NYPD_PCT_CD,BORO_NM,PATRL_BORO_NM,GEO_CD_X,GEO_CD_Y,RADIO_CODE,TYP_DESC,CIP_JOBS,ADD_TS,DISP_TS,ARRIVD_TS,CLOSNG_TS,Latitude,Longitude
72469,74415324,01/21/2021,01/21/2021,23:25:55,112,QUEENS,PATROL BORO QUEENS NORTH,1024519,207205,39H2,OTHER CRIMES (IN PROGRESS): HARASSMENT/OUTSIDE,Non Critical,01/21/2021 11:25:55 PM,01/21/2021 11:26:16 PM,01/21/2021 11:35:44 PM,01/21/2021 11:37:53 PM,40.735323,-73.854696
37049,74196398,01/11/2021,01/11/2021,17:25:01,106,QUEENS,PATROL BORO QUEENS SOUTH,1027574,185104,10H1,INVESTIGATE/POSSIBLE CRIME: CALLS FOR HELP/INSIDE,Non CIP,01/11/2021 05:25:01 PM,01/11/2021 05:25:29 PM,01/11/2021 05:44:09 PM,01/11/2021 05:44:14 PM,40.674647,-73.843815
73379,74420853,01/22/2021,01/22/2021,08:17:40,114,QUEENS,PATROL BORO QUEENS NORTH,1006111,218824,75S,STATION INSPECTION BY TRANSIT BUREAU PERSONNEL,Non CIP,01/22/2021 08:17:40 AM,01/22/2021 08:17:40 AM,01/22/2021 08:17:40 AM,01/22/2021 08:28:29 AM,40.767279,-73.921081
73347,74420644,01/22/2021,01/22/2021,08:05:00,103,QUEENS,PATROL BORO QUEENS SOUTH,1038696,194535,11C4,ALARMS: COMMERCIAL/BURGLARY,Non CIP,01/22/2021 08:09:03 AM,01/22/2021 08:09:35 AM,,01/22/2021 09:15:49 AM,40.700471,-73.803643
79600,74459544,01/24/2021,01/24/2021,00:48:38,113,QUEENS,PATROL BORO QUEENS SOUTH,1044795,188802,52D6,DISPUTE: FAMILY,Non CIP,01/24/2021 12:48:38 AM,01/24/2021 12:50:34 AM,01/24/2021 12:52:59 AM,01/24/2021 01:21:00 AM,40.684696,-73.781699
14142,74059762,01/05/2021,01/05/2021,08:07:57,101,QUEENS,PATROL BORO QUEENS SOUTH,1052494,155223,75D,VISIBILITY PATROL: DIRECTED,Non CIP,01/05/2021 08:07:57 AM,01/05/2021 08:07:57 AM,01/05/2021 08:07:57 AM,01/05/2021 08:27:44 AM,40.592473,-73.754279
25455,74126445,01/08/2021,01/08/2021,09:58:54,112,QUEENS,PATROL BORO QUEENS NORTH,1023036,205756,75D,VISIBILITY PATROL: DIRECTED,Non CIP,01/08/2021 09:58:54 AM,01/08/2021 09:58:56 AM,01/08/2021 09:58:57 AM,01/08/2021 10:21:24 AM,40.731353,-73.860056
90029,74524539,01/27/2021,01/27/2021,06:02:16,108,QUEENS,PATROL BORO QUEENS NORTH,1001300,212423,75M,TRAIN RUN/MOBILE ORDER MAINTENANCE SWEEP,Non CIP,01/27/2021 06:02:16 AM,01/27/2021 06:02:16 AM,01/27/2021 06:02:16 AM,01/27/2021 06:23:30 AM,40.74972,-73.938466
91424,74533560,01/27/2021,01/27/2021,15:36:27,109,QUEENS,PATROL BORO QUEENS NORTH,1030306,220116,53S,VEHICLE ACCIDENT: SPECIAL CONDITION,Non CIP,01/27/2021 03:36:27 PM,01/27/2021 03:47:32 PM,01/27/2021 04:37:59 PM,01/27/2021 05:08:54 PM,40.770732,-73.833726
30244,74154650,01/09/2021,01/09/2021,16:42:06,109,QUEENS,PATROL BORO QUEENS NORTH,1039225,215263,68Q1,SEE COMPLAINANT: OTHER/INSIDE,Non CIP,01/09/2021 04:42:06 PM,01/09/2021 04:42:32 PM,,01/09/2021 07:18:37 PM,40.757361,-73.801566
87830,74510823,01/26/2021,01/26/2021,14:17:48,102,QUEENS,PATROL BORO QUEENS SOUTH,1034033,191267,52D1,DISPUTE: INSIDE,Non CIP,01/26/2021 02:17:49 PM,01/26/2021 02:50:01 PM,01/26/2021 03:22:49 PM,01/26/2021 03:48:24 PM,40.691529,-73.820484
44999,74244526,01/13/2021,01/13/2021,22:40:28,109,QUEENS,PATROL BORO QUEENS NORTH,1031345,224104,11C4,ALARMS: COMMERCIAL/BURGLARY,Non CIP,01/13/2021 10:40:42 PM,01/13/2021 10:52:33 PM,01/13/2021 10:58:42 PM,01/13/2021 11:04:50 PM,40.781673,-73.829947
53547,74297285,01/16/2021,01/16/2021,11:23:37,102,QUEENS,PATROL BORO QUEENS SOUTH,1030299,196819,54C3,AMBULANCE CASE: CARDIAC/CPR GIVEN,Non CIP,01/16/2021 11:23:37 AM,01/16/2021 11:47:23 AM,01/16/2021 11:58:33 AM,01/16/2021 06:50:46 PM,40.706788,-73.833911
