date,entries,exits
2020-09-30,3897,0
2020-10-01,4312,1
2020-10-02,3832,0
2020-10-03,53,0
2020-10-04,803,0
2020-10-05,3793,0
2020-10-06,4020,1
2020-10-07,4043,0
2020-10-08,4098,1
2020-10-09,3780,0
2020-10-10,1502,0
2020-10-11,1083,0
2020-10-12,2449,0
2020-10-13,3873,0
2020-10-14,4161,1
2020-10-15,4253,0
2020-10-16,3510,1
2020-10-17,1606,0
2020-10-18,1099,0
2020-10-19,3775,0
2020-10-20,4034,1
2020-10-21,4056,0
2020-10-22,4079,1
2020-10-23,3822,0
2020-10-24,61,0
2020-10-25,22,0
2020-10-26,3570,1
2020-10-27,3806,12
2020-10-28,3823,0
2020-10-29,3762,0
2020-10-30,3372,0
2020-10-31,53,0
2020-11-01,2,0
2020-11-02,3645,0
2020-11-03,3425,1
2020-11-04,3631,0
2020-11-05,3999,0
2020-11-06,3710,0
2020-11-07,84,0
2020-11-08,873,1
2020-11-09,3728,0
2020-11-10,4024,1
2020-11-11,3162,0
2020-11-12,3717,0
2020-11-13,3387,0
2020-11-14,78,0
2020-11-15,705,0
2020-11-16,3669,0
2020-11-17,3758,0
2020-11-18,3642,0
2020-11-19,3654,0
2020-11-20,3573,0
2020-11-21,81,0
2020-11-22,88,0
2020-11-23,3316,0
2020-11-24,3549,0
2020-11-25,3323,0
2020-11-26,876,0
2020-11-27,2152,0
2020-11-28,1238,0
2020-11-29,877,0
2020-11-30,3123,0
2020-12-01,3645,10
2020-12-02,3533,0
2020-12-03,3490,0
2020-12-04,3184,0
2020-12-05,1060,0
2020-12-06,935,0
2020-12-07,3317,0
2020-12-08,3293,0
2020-12-09,3374,0
2020-12-10,3480,0
2020-12-11,3344,0
2020-12-12,76,0
2020-12-13,76,0
2020-12-14,3073,0
2020-12-15,3441,0
2020-12-16,3055,0
2020-12-17,1808,0
2020-12-18,3125,0
2020-12-19,72,0
2020-12-20,771,0
2020-12-21,3362,0
2020-12-22,3312,0
2020-12-23,3306,0
2020-12-24,2348,0
2020-12-25,703,0
