District,Grade,Year,Category,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 20+ Total Days,# Chronically Absent,% Chronically Absent
20,11,2017-18,All Students,441210,39571,401639,91.0,2754,681,24.7
20,11,2018-19,All Students,443736,33823,409913,92.4,2732,569,20.8
20,12,2013-14,All Students,409116,51046,358070,87.5,2579,843,32.7
20,12,2014-15,All Students,436251,52177,384074,88.0,2701,838,31.0
20,12,2015-16,All Students,421253,54141,367112,87.1,2650,825,31.1
20,12,2016-17,All Students,458039,53367,404672,88.3,2903,948,32.7
20,12,2017-18,All Students,482941,63482,419459,86.9,3035,1204,39.7
20,12,2018-19,All Students,467361,55593,411768,88.1,2917,1057,36.2
21,All Grades,2013-14,All Students,5845627,495683,5349944,91.5,34879,8669,24.9
21,All Grades,2014-15,All Students,6027712,499585,5528127,91.7,35490,8319,23.4
21,All Grades,2015-16,All Students,5941449,478771,5462678,91.9,35672,8190,23.0
21,All Grades,2016-17,All Students,5955105,487468,5467637,91.8,36089,8689,24.1
21,All Grades,2017-18,All Students,6046222,495447,5550775,91.8,36174,9071,25.1
21,All Grades,2018-19,All Students,6020243,486417,5533826,91.9,35993,9030,25.1
21,PK in K-12 Schools,2013-14,All Students,178796,18426,160370,89.7,1084,447,41.2
21,PK in K-12 Schools,2014-15,All Students,193398,19040,174358,90.2,1159,466,40.2
21,PK in K-12 Schools,2015-16,All Students,163010,15736,147274,90.3,981,346,35.3
21,PK in K-12 Schools,2016-17,All Students,164544,16770,147774,89.8,999,394,39.4
21,PK in K-12 Schools,2017-18,All Students,160539,17891,142648,88.9,969,446,46.0
21,PK in K-12 Schools,2018-19,All Students,147149,16910,130239,88.5,880,395,44.9
21,0K,2013-14,All Students,388406,32209,356197,91.7,2295,699,30.5
21,0K,2014-15,All Students,397694,31652,366042,92.0,2320,651,28.1
21,0K,2015-16,All Students,393415,30191,363224,92.3,2345,664,28.3
21,0K,2016-17,All Students,383430,30538,352892,92.0,2331,687,29.5
21,0K,2017-18,All Students,404487,34361,370126,91.5,2392,791,33.1
21,0K,2018-19,All Students,379791,32430,347361,91.5,2276,713,31.3
21,1,2013-14,All Students,414958,29536,385422,92.9,2421,603,24.9
21,1,2014-15,All Students,404994,26648,378346,93.4,2351,520,22.1
21,1,2015-16,All Students,405073,26855,378218,93.4,2402,537,22.4
21,1,2016-17,All Students,395498,27312,368186,93.1,2361,572,24.2
21,1,2017-18,All Students,388800,27604,361196,92.9,2299,558,24.3
21,1,2018-19,All Students,404914,29882,375032,92.6,2388,625,26.2
21,2,2013-14,All Students,379654,23565,356089,93.8,2210,411,18.6
21,2,2014-15,All Students,415832,24672,391160,94.1,2397,452,18.9
21,2,2015-16,All Students,398178,22912,375266,94.2,2332,426,18.3
