District,Grade,Year,Category,# Total Days,# Days Absent,# Days Present,% Attendance,# Contributing 20+ Total Days,# Chronically Absent,% Chronically Absent
1,All Grades,2013-14,All Students,2088851,187879,1900972,91.0,12617,3472,27.5
1,All Grades,2014-15,All Students,2064610,171200,1893410,91.7,12295,3160,25.7
1,All Grades,2015-16,All Students,1995704,169094,1826610,91.5,12137,3206,26.4
1,All Grades,2016-17,All Students,1946012,161756,1784256,91.7,11916,3110,26.1
1,All Grades,2017-18,All Students,1946527,167998,1778529,91.4,11762,3244,27.6
1,All Grades,2018-19,All Students,1925995,175153,1750842,90.9,11593,3364,29.0
1,PK in K-12 Schools,2013-14,All Students,85819,9009,76810,89.5,522,217,41.6
1,PK in K-12 Schools,2014-15,All Students,83976,8980,74996,89.3,512,226,44.1
1,PK in K-12 Schools,2015-16,All Students,72713,6565,66148,91.0,452,168,37.2
1,PK in K-12 Schools,2016-17,All Students,76542,8572,67970,88.8,471,205,43.5
1,PK in K-12 Schools,2017-18,All Students,73863,8197,65666,88.9,452,188,41.6
1,PK in K-12 Schools,2018-19,All Students,75544,8151,67393,89.2,455,195,42.9
1,0K,2013-14,All Students,169807,14312,155495,91.6,1010,298,29.5
1,0K,2014-15,All Students,163331,12214,151117,92.5,949,256,27.0
1,0K,2015-16,All Students,159221,12754,146467,92.0,964,286,29.7
1,0K,2016-17,All Students,149050,11889,137161,92.0,902,264,29.3
1,0K,2017-18,All Students,151330,13877,137453,90.8,900,327,36.3
1,0K,2018-19,All Students,142387,13705,128682,90.4,838,307,36.6
1,1,2013-14,All Students,165595,11727,153868,92.9,973,240,24.7
1,1,2014-15,All Students,169083,10612,158471,93.7,977,182,18.6
1,1,2015-16,All Students,161320,10181,151139,93.7,959,223,23.3
1,1,2016-17,All Students,158519,11298,147221,92.9,956,234,24.5
1,1,2017-18,All Students,151606,10921,140685,92.8,885,231,26.1
1,1,2018-19,All Students,151359,11908,139451,92.1,888,256,28.8
1,2,2013-14,All Students,159174,10792,148382,93.2,928,222,23.9
1,2,2014-15,All Students,161393,9930,151463,93.8,926,179,19.3
1,2,2015-16,All Students,159010,8992,150018,94.3,932,172,18.5
1,2,2016-17,All Students,156323,9683,146640,93.8,922,186,20.2
1,2,2017-18,All Students,152728,10446,142282,93.2,891,208,23.3
1,2,2018-19,All Students,145929,10328,135601,92.9,852,211,24.8
1,3,2013-14,All Students,170369,10506,159863,93.8,987,200,20.3
1,3,2014-15,All Students,157839,9403,148436,94.0,909,182,20.0
1,3,2015-16,All Students,152234,8291,143943,94.6,891,147,16.5
1,3,2016-17,All Students,152042,9042,143000,94.1,908,189,20.8
1,3,2017-18,All Students,152703,9288,143415,93.9,892,187,21.0
1,3,2018-19,All Students,149871,10601,139270,92.9,876,228,26.0
1,4,2013-14,All Students,169060,9610,159450,94.3,971,166,17.1
1,4,2014-15,All Students,167506,9255,158251,94.5,949,167,17.6
1,4,2015-16,All Students,149200,8201,140999,94.5,875,162,18.5
1,4,2016-17,All Students,146645,8059,138586,94.5,861,139,16.1
1,4,2017-18,All Students,149499,8687,140812,94.2,866,166,19.2
1,4,2018-19,All Students,150185,8901,141284,94.1,870,173,19.9
1,5,2013-14,All Students,154629,9125,145504,94.1,890,165,18.5
1,5,2014-15,All Students,166098,9158,156940,94.5,936,153,16.3
1,5,2015-16,All Students,160479,8861,151618,94.5,922,151,16.4
1,5,2016-17,All Students,140490,8022,132468,94.3,815,147,18.0
1,5,2017-18,All Students,144524,8508,136016,94.1,841,156,18.5
1,5,2018-19,All Students,147610,9310,138300,93.7,853,191,22.4
1,6,2013-14,All Students,135825,7997,127828,94.1,788,137,17.4
1,6,2014-15,All Students,150524,8399,142125,94.4,854,136,15.9
1,6,2015-16,All Students,152845,7857,144988,94.9,886,137,15.5
1,6,2016-17,All Students,146272,8422,137850,94.2,846,141,16.7
1,6,2017-18,All Students,141431,8372,133059,94.1,820,166,20.2
1,6,2018-19,All Students,134108,8020,126088,94.0,777,146,18.8
1,7,2013-14,All Students,152616,9282,143334,93.9,876,160,18.3
1,7,2014-15,All Students,136640,7817,128823,94.3,776,141,18.2
1,7,2015-16,All Students,146735,8010,138725,94.5,851,142,16.7
1,7,2016-17,All Students,147656,8363,139293,94.3,858,145,16.9
1,7,2017-18,All Students,142041,8575,133466,94.0,819,161,19.7
1,7,2018-19,All Students,140520,8880,131640,93.7,808,167,20.7
1,8,2013-14,All Students,161809,11605,150204,92.8,921,210,22.8
1,8,2014-15,All Students,153380,9663,143717,93.7,868,153,17.6
1,8,2015-16,All Students,140535,9172,131363,93.5,815,171,21.0
1,8,2016-17,All Students,147200,9363,137837,93.6,851,163,19.2
1,8,2017-18,All Students,150098,9763,140335,93.5,867,172,19.8
1,8,2018-19,All Students,139512,9407,130105,93.3,805,186,23.1
1,9,2013-14,All Students,113323,13953,99370,87.7,721,218,30.2
1,9,2014-15,All Students,106986,12724,94262,88.1,683,202,29.6
1,9,2015-16,All Students,107520,9469,98051,91.2,677,152,22.5
1,9,2016-17,All Students,108455,9091,99364,91.6,682,136,19.9
1,9,2017-18,All Students,119031,9042,109989,92.4,760,142,18.7
1,9,2018-19,All Students,128326,11114,117212,91.3,830,181,21.8
1,10,2013-14,All Students,162186,22212,139974,86.3,1128,402,35.6
1,10,2014-15,All Students,162494,23547,138947,85.5,1102,436,39.6
1,10,2015-16,All Students,153163,25179,127984,83.6,1055,434,41.1
1,10,2016-17,All Students,157255,20911,136344,86.7,1099,389,35.4
1,10,2017-18,All Students,148720,22619,126101,84.8,997,390,39.1
1,10,2018-19,All Students,142503,20035,122468,85.9,949,363,38.3
1,11,2013-14,All Students,145667,20556,125111,85.9,947,352,37.2
1,11,2014-15,All Students,140385,16381,124004,88.3,901,295,32.7
1,11,2015-16,All Students,135211,19476,115735,85.6,880,349,39.7
1,11,2016-17,All Students,127979,16684,111295,87.0,850,327,38.5
1,11,2017-18,All Students,140901,18568,122333,86.8,922,325,35.2
1,11,2018-19,All Students,125782,16008,109774,87.3,802,270,33.7
1,12,2013-14,All Students,142972,27193,115779,81.0,955,485,50.8
1,12,2014-15,All Students,144975,23117,121858,84.1,953,452,47.4
1,12,2015-16,All Students,145518,26086,119432,82.1,978,512,52.4
1,12,2016-17,All Students,131584,22357,109227,83.0,895,445,49.7
1,12,2017-18,All Students,128052,21135,106917,83.5,850,425,50.0
1,12,2018-19,All Students,152359,28785,123574,81.1,990,490,49.5
2,All Grades,2013-14,All Students,10455775,953390,9502385,90.9,63539,16122,25.4
2,All Grades,2014-15,All Students,10630853,891277,9739576,91.6,63677,14897,23.4
2,All Grades,2015-16,All Students,10392711,898432,9494279,91.4,63310,14999,23.7
2,All Grades,2016-17,All Students,10303270,897129,9406141,91.3,63351,15087,23.8
2,All Grades,2017-18,All Students,10430548,926575,9503973,91.1,63773,15722,24.7
2,All Grades,2018-19,All Students,10435938,901006,9534932,91.4,63238,15388,24.3
2,PK in K-12 Schools,2013-14,All Students,157130,12203,144927,92.2,941,241,25.6
2,PK in K-12 Schools,2014-15,All Students,188328,14552,173776,92.3,1114,293,26.3
2,PK in K-12 Schools,2015-16,All Students,188908,12965,175943,93.1,1125,254,22.6
2,PK in K-12 Schools,2016-17,All Students,206783,14781,192002,92.9,1240,286,23.1
2,PK in K-12 Schools,2017-18,All Students,225588,15985,209603,92.9,1351,288,21.3
2,PK in K-12 Schools,2018-19,All Students,236341,16823,219518,92.9,1406,319,22.7
2,0K,2013-14,All Students,556963,29980,526983,94.6,3235,427,13.2
2,0K,2014-15,All Students,570297,30241,540056,94.7,3278,431,13.1
2,0K,2015-16,All Students,532722,28694,504028,94.6,3122,429,13.7
2,0K,2016-17,All Students,533523,30527,502996,94.3,3166,489,15.4
2,0K,2017-18,All Students,571149,34009,537140,94.0,3359,568,16.9
2,0K,2018-19,All Students,538840,32254,506586,94.0,3175,549,17.3
2,1,2013-14,All Students,578657,26241,552416,95.5,3330,336,10.1
2,1,2014-15,All Students,556910,24743,532167,95.6,3175,303,9.5
2,1,2015-16,All Students,526617,23846,502771,95.5,3057,308,10.1
2,1,2016-17,All Students,513257,24791,488466,95.2,3020,323,10.7
2,1,2017-18,All Students,524659,25144,499515,95.2,3068,355,11.6
2,1,2018-19,All Students,547629,27549,520080,95.0,3207,395,12.3
2,2,2013-14,All Students,540829,21919,518910,95.9,3102,256,8.3
2,2,2014-15,All Students,560531,22196,538335,96.0,3181,251,7.9
2,2,2015-16,All Students,515027,21655,493372,95.8,2981,279,9.4
2,2,2016-17,All Students,498190,22087,476103,95.6,2923,255,8.7
2,2,2017-18,All Students,510752,22737,488015,95.5,2983,292,9.8
2,2,2018-19,All Students,503857,23074,480783,95.4,2928,300,10.2
2,3,2013-14,All Students,512477,19230,493247,96.2,2921,216,7.4
2,3,2014-15,All Students,527969,19223,508746,96.4,2979,221,7.4
2,3,2015-16,All Students,526330,19806,506524,96.2,3031,213,7.0
2,3,2016-17,All Students,492921,20776,472145,95.8,2876,254,8.8
2,3,2017-18,All Students,489326,20869,468457,95.7,2839,268,9.4
2,3,2018-19,All Students,491432,21170,470262,95.7,2844,278,9.8
2,4,2013-14,All Students,476287,15572,460715,96.7,2717,191,7.0
2,4,2014-15,All Students,516616,15499,501117,97.0,2911,161,5.5
2,4,2015-16,All Students,511893,15638,496255,96.9,2950,178,6.0
2,4,2016-17,All Students,515390,16298,499092,96.8,3012,201,6.7
2,4,2017-18,All Students,493816,16760,477056,96.6,2865,227,7.9
2,4,2018-19,All Students,483213,16105,467108,96.7,2794,232,8.3
2,5,2013-14,All Students,467962,17201,450761,96.3,2655,192,7.2
2,5,2014-15,All Students,470710,15861,454849,96.6,2640,176,6.7
2,5,2015-16,All Students,491506,16942,474564,96.6,2810,179,6.4
2,5,2016-17,All Students,484834,18278,466556,96.2,2812,230,8.2
2,5,2017-18,All Students,510273,19352,490921,96.2,2938,253,8.6
2,5,2018-19,All Students,481047,20031,461016,95.8,2757,261,9.5
2,6,2013-14,All Students,429420,15287,414133,96.4,2456,192,7.8
2,6,2014-15,All Students,453061,14764,438297,96.7,2554,168,6.6
2,6,2015-16,All Students,453928,14812,439116,96.7,2608,173,6.6
2,6,2016-17,All Students,468962,16585,452377,96.5,2733,187,6.8
2,6,2017-18,All Students,488134,18067,470067,96.3,2816,238,8.5
2,6,2018-19,All Students,499983,19083,480900,96.2,2868,254,8.9
2,7,2013-14,All Students,417229,15778,401451,96.2,2377,211,8.9
2,7,2014-15,All Students,433592,13778,419814,96.8,2439,182,7.5
2,7,2015-16,All Students,437937,13403,424534,96.9,2505,164,6.5
2,7,2016-17,All Students,445820,14199,431621,96.8,2588,184,7.1
2,7,2017-18,All Students,459250,14340,444910,96.9,2641,192,7.3
2,7,2018-19,All Students,478779,15032,463747,96.9,2747,198,7.2
2,8,2013-14,All Students,442153,21523,420630,95.1,2527,301,11.9
2,8,2014-15,All Students,419723,19366,400357,95.4,2360,264,11.2
2,8,2015-16,All Students,429192,20427,408765,95.2,2453,280,11.4
2,8,2016-17,All Students,435077,20929,414148,95.2,2513,277,11.0
2,8,2017-18,All Students,452954,20754,432200,95.4,2594,274,10.6
2,8,2018-19,All Students,461443,21499,439944,95.3,2640,288,10.9
2,9,2013-14,All Students,1597971,205836,1392135,87.1,10070,3325,33.0
2,9,2014-15,All Students,1636829,180107,1456722,89.0,10139,2855,28.2
2,9,2015-16,All Students,1577850,184209,1393641,88.3,9985,2973,29.8
2,9,2016-17,All Students,1595562,179219,1416343,88.8,10184,2969,29.2
2,9,2017-18,All Students,1501879,169530,1332349,88.7,9596,2827,29.5
2,9,2018-19,All Students,1546569,166723,1379846,89.2,9708,2756,28.4
2,10,2013-14,All Students,1597249,196752,1400497,87.7,10118,3430,33.9
2,10,2014-15,All Students,1573929,184862,1389067,88.3,9906,3298,33.3
2,10,2015-16,All Students,1549111,173313,1375798,88.8,9860,3035,30.8
2,10,2016-17,All Students,1466522,165572,1300950,88.7,9411,2957,31.4
2,10,2017-18,All Students,1529720,179482,1350238,88.3,9782,3158,32.3
2,10,2018-19,All Students,1462581,163963,1298618,88.8,9258,2972,32.1
2,11,2013-14,All Students,1314949,148449,1166500,88.7,8295,2747,33.1
2,11,2014-15,All Students,1401438,146168,1255270,89.6,8678,2652,30.6
2,11,2015-16,All Students,1312013,145769,1166244,88.9,8249,2589,31.4
2,11,2016-17,All Students,1373239,154800,1218439,88.7,8731,2715,31.1
2,11,2017-18,All Students,1334264,155733,1178531,88.3,8418,2729,32.4
2,11,2018-19,All Students,1382690,154273,1228417,88.8,8566,2686,31.4
2,12,2013-14,All Students,1366499,207419,1159080,84.8,8795,4057,46.1
2,12,2014-15,All Students,1320920,189917,1131003,85.6,8323,3642,43.8
2,12,2015-16,All Students,1339677,206953,1132724,84.6,8574,3945,46.0
2,12,2016-17,All Students,1273190,198287,1074903,84.4,8142,3760,46.2
2,12,2017-18,All Students,1338784,213813,1124971,84.0,8523,4053,47.6
2,12,2018-19,All Students,1321534,203427,1118107,84.6,8340,3900,46.8
3,All Grades,2013-14,All Students,3902386,325807,3576579,91.7,23344,5689,24.4
3,All Grades,2014-15,All Students,3909737,321878,3587859,91.8,23050,5343,23.2
3,All Grades,2015-16,All Students,3791190,312874,3478316,91.7,22881,5454,23.8
3,All Grades,2016-17,All Students,3712785,295098,3417687,92.1,22625,5177,22.9
3,All Grades,2017-18,All Students,3768005,295050,3472955,92.2,22775,5295,23.2
3,All Grades,2018-19,All Students,3787291,294935,3492356,92.2,22736,5214,22.9
3,PK in K-12 Schools,2013-14,All Students,80942,8470,72472,89.5,489,196,40.1
3,PK in K-12 Schools,2014-15,All Students,86114,9299,76815,89.2,512,221,43.2
3,PK in K-12 Schools,2015-16,All Students,83951,8673,75278,89.7,525,197,37.5
3,PK in K-12 Schools,2016-17,All Students,82705,9066,73639,89.0,521,216,41.5
3,PK in K-12 Schools,2017-18,All Students,104110,10346,93764,90.1,640,252,39.4
3,PK in K-12 Schools,2018-19,All Students,111725,10958,100767,90.2,687,255,37.1
3,0K,2013-14,All Students,266978,19086,247892,92.9,1564,365,23.3
3,0K,2014-15,All Students,274818,19192,255626,93.0,1580,359,22.7
3,0K,2015-16,All Students,263528,18167,245361,93.1,1563,355,22.7
3,0K,2016-17,All Students,245783,18623,227160,92.4,1462,367,25.1
3,0K,2017-18,All Students,230740,16671,214069,92.8,1361,306,22.5
3,0K,2018-19,All Students,239293,17776,221517,92.6,1419,344,24.2
3,1,2013-14,All Students,274731,17554,257177,93.6,1592,306,19.2
3,1,2014-15,All Students,272628,16578,256050,93.9,1563,278,17.8
3,1,2015-16,All Students,268076,16355,251721,93.9,1566,285,18.2
3,1,2016-17,All Students,265142,18267,246875,93.1,1577,341,21.6
3,1,2017-18,All Students,245584,15791,229793,93.6,1446,284,19.6
3,1,2018-19,All Students,228809,14143,214666,93.8,1351,258,19.1
3,2,2013-14,All Students,250114,15294,234820,93.9,1446,260,18.0
3,2,2014-15,All Students,260661,15037,245624,94.2,1493,240,16.1
3,2,2015-16,All Students,258008,14115,243893,94.5,1500,220,14.7
3,2,2016-17,All Students,255921,16521,239400,93.5,1506,285,18.9
3,2,2017-18,All Students,256247,15726,240521,93.9,1494,291,19.5
3,2,2018-19,All Students,237905,14385,223520,94.0,1392,253,18.2
3,3,2013-14,All Students,260791,14273,246518,94.5,1498,229,15.3
3,3,2014-15,All Students,246078,13619,232459,94.5,1401,214,15.3
3,3,2015-16,All Students,248377,13307,235070,94.6,1441,225,15.6
3,3,2016-17,All Students,251830,14752,237078,94.1,1481,251,16.9
3,3,2017-18,All Students,256557,15600,240957,93.9,1492,272,18.2
3,3,2018-19,All Students,254506,15395,239111,94.0,1488,274,18.4
3,4,2013-14,All Students,268209,13613,254596,94.9,1529,211,13.8
3,4,2014-15,All Students,258444,12032,246412,95.3,1458,176,12.1
3,4,2015-16,All Students,230666,11462,219204,95.0,1333,190,14.3
3,4,2016-17,All Students,238492,12197,226295,94.9,1393,193,13.9
3,4,2017-18,All Students,249439,12621,236818,94.9,1447,211,14.6
3,4,2018-19,All Students,244977,12844,232133,94.8,1422,230,16.2
3,5,2013-14,All Students,240235,12743,227492,94.7,1366,187,13.7
3,5,2014-15,All Students,264209,13457,250752,94.9,1484,199,13.4
3,5,2015-16,All Students,248769,12087,236682,95.1,1436,190,13.2
3,5,2016-17,All Students,226161,12376,213785,94.5,1315,204,15.5
3,5,2017-18,All Students,241798,13275,228523,94.5,1395,233,16.7
3,5,2018-19,All Students,245698,13334,232364,94.6,1423,223,15.7
3,6,2013-14,All Students,256105,13769,242336,94.6,1473,226,15.3
3,6,2014-15,All Students,244903,11778,233125,95.2,1380,157,11.4
3,6,2015-16,All Students,261489,12666,248823,95.2,1508,208,13.8
3,6,2016-17,All Students,258376,13199,245177,94.9,1516,217,14.3
3,6,2017-18,All Students,245911,13486,232425,94.5,1424,241,16.9
3,6,2018-19,All Students,262695,13863,248832,94.7,1517,219,14.4
3,7,2013-14,All Students,245328,13230,232098,94.6,1398,217,15.5
3,7,2014-15,All Students,252882,12447,240435,95.1,1421,201,14.1
3,7,2015-16,All Students,236151,11481,224670,95.1,1369,190,13.9
3,7,2016-17,All Students,251553,12487,239066,95.0,1462,201,13.7
3,7,2017-18,All Students,257790,12370,245420,95.2,1496,203,13.6
3,7,2018-19,All Students,249329,13063,236266,94.8,1443,229,15.9
3,8,2013-14,All Students,256250,19216,237034,92.5,1457,329,22.6
3,8,2014-15,All Students,245163,16274,228889,93.4,1373,247,18.0
3,8,2015-16,All Students,243638,14949,228689,93.9,1405,251,17.9
3,8,2016-17,All Students,229828,14962,214866,93.5,1335,237,17.8
3,8,2017-18,All Students,252496,16067,236429,93.6,1469,258,17.6
3,8,2018-19,All Students,260223,16243,243980,93.8,1496,242,16.2
3,9,2013-14,All Students,394849,40878,353971,89.6,2462,664,27.0
3,9,2014-15,All Students,380854,38905,341949,89.8,2350,616,26.2
3,9,2015-16,All Students,382120,38426,343694,89.9,2411,609,25.3
3,9,2016-17,All Students,355337,30986,324351,91.3,2266,451,19.9
3,9,2017-18,All Students,381138,32632,348506,91.4,2406,516,21.4
3,9,2018-19,All Students,364561,32382,332179,91.1,2259,482,21.3
3,10,2013-14,All Students,391171,45868,345303,88.3,2488,812,32.6
3,10,2014-15,All Students,401793,51848,349945,87.1,2519,847,33.6
3,10,2015-16,All Students,381342,48475,332867,87.3,2439,821,33.7
3,10,2016-17,All Students,384390,44524,339866,88.4,2490,732,29.4
3,10,2017-18,All Students,368770,41810,326960,88.7,2388,699,29.3
3,10,2018-19,All Students,380076,35537,344539,90.7,2395,614,25.6
3,11,2013-14,All Students,373310,43813,329497,88.3,2369,781,33.0
3,11,2014-15,All Students,349827,39029,310798,88.8,2171,652,30.0
3,11,2015-16,All Students,345541,41683,303858,87.9,2200,736,33.5
3,11,2016-17,All Students,336490,34029,302461,89.9,2165,641,29.6
3,11,2017-18,All Students,351852,38204,313648,89.1,2241,713,31.8
3,11,2018-19,All Students,342804,34869,307935,89.8,2142,606,28.3
3,12,2013-14,All Students,343373,48000,295373,86.0,2213,906,40.9
3,12,2014-15,All Students,371363,52383,318980,85.9,2345,936,39.9
3,12,2015-16,All Students,339534,51028,288506,85.0,2185,977,44.7
3,12,2016-17,All Students,330777,43109,287668,87.0,2136,841,39.4
3,12,2017-18,All Students,325573,40451,285122,87.6,2076,816,39.3
3,12,2018-19,All Students,364690,50143,314547,86.3,2302,985,42.8
4,All Grades,2013-14,All Students,2394179,202964,2191215,91.5,14282,4142,29.0
4,All Grades,2014-15,All Students,2412229,199254,2212975,91.7,14105,3971,28.2
4,All Grades,2015-16,All Students,2321729,185913,2135816,92.0,13913,3868,27.8
4,All Grades,2016-17,All Students,2230876,181746,2049130,91.9,13484,3812,28.3
4,All Grades,2017-18,All Students,2211637,187101,2024536,91.5,13299,4028,30.3
4,All Grades,2018-19,All Students,2196835,185626,2011209,91.6,13151,4086,31.1
4,PK in K-12 Schools,2013-14,All Students,80076,9492,70584,88.1,481,215,44.7
4,PK in K-12 Schools,2014-15,All Students,76950,10225,66725,86.7,468,255,54.5
4,PK in K-12 Schools,2015-16,All Students,70426,8437,61989,88.0,445,210,47.2
4,PK in K-12 Schools,2016-17,All Students,68180,9046,59134,86.7,434,227,52.3
4,PK in K-12 Schools,2017-18,All Students,68877,9786,59091,85.8,442,263,59.5
4,PK in K-12 Schools,2018-19,All Students,115704,16848,98856,85.4,729,441,60.5
4,0K,2013-14,All Students,183578,18447,165131,90.0,1117,449,40.2
4,0K,2014-15,All Students,182234,17154,165080,90.6,1075,383,35.6
4,0K,2015-16,All Students,175935,16278,159657,90.7,1064,397,37.3
4,0K,2016-17,All Students,161506,16065,145441,90.1,990,396,40.0
4,0K,2017-18,All Students,148190,15644,132546,89.4,900,390,43.3
4,0K,2018-19,All Students,141105,16389,124716,88.4,859,415,48.3
4,1,2013-14,All Students,198960,17905,181055,91.0,1186,396,33.4
4,1,2014-15,All Students,196458,17381,179077,91.2,1143,367,32.1
4,1,2015-16,All Students,182230,15399,166831,91.5,1101,366,33.2
4,1,2016-17,All Students,176922,15719,161203,91.1,1069,372,34.8
4,1,2017-18,All Students,163518,15411,148107,90.6,971,385,39.6
4,1,2018-19,All Students,144028,13614,130414,90.5,853,332,38.9
4,2,2013-14,All Students,199537,15788,183749,92.1,1176,335,28.5
4,2,2014-15,All Students,198344,15727,182617,92.1,1145,338,29.5
4,2,2015-16,All Students,183545,14742,168803,92.0,1092,348,31.9
4,2,2016-17,All Students,180396,14964,165432,91.7,1071,326,30.4
4,2,2017-18,All Students,176089,15137,160952,91.4,1045,350,33.5
4,2,2018-19,All Students,152742,13021,139721,91.5,919,336,36.6
4,3,2013-14,All Students,191893,14070,177823,92.7,1134,299,26.4
4,3,2014-15,All Students,196019,13967,182052,92.9,1129,282,25.0
4,3,2015-16,All Students,185213,13089,172124,92.9,1088,272,25.0
4,3,2016-17,All Students,176356,14197,162159,91.9,1050,321,30.6
4,3,2017-18,All Students,179003,14049,164954,92.2,1060,321,30.3
4,3,2018-19,All Students,169632,13835,155797,91.8,996,310,31.1
4,4,2013-14,All Students,192984,13820,179164,92.8,1124,284,25.3
4,4,2014-15,All Students,197056,13952,183104,92.9,1125,271,24.1
4,4,2015-16,All Students,184620,11431,173189,93.8,1084,222,20.5
4,4,2016-17,All Students,177025,12775,164250,92.8,1052,266,25.3
4,4,2017-18,All Students,177000,13634,163366,92.3,1035,293,28.3
4,4,2018-19,All Students,177074,14103,162971,92.0,1040,330,31.7
4,5,2013-14,All Students,193114,12704,180410,93.4,1115,228,20.4
4,5,2014-15,All Students,189528,13036,176492,93.1,1078,250,23.2
4,5,2015-16,All Students,187884,12341,175543,93.4,1097,268,24.4
4,5,2016-17,All Students,179434,11617,167817,93.5,1046,230,22.0
4,5,2017-18,All Students,174871,12494,162377,92.9,1024,254,24.8
4,5,2018-19,All Students,174646,13490,161156,92.3,1014,314,31.0
4,6,2013-14,All Students,186600,14055,172545,92.5,1081,291,26.9
4,6,2014-15,All Students,189831,12280,177551,93.5,1087,233,21.4
4,6,2015-16,All Students,176980,13109,163871,92.6,1030,262,25.4
4,6,2016-17,All Students,171749,12384,159365,92.8,1013,249,24.6
4,6,2017-18,All Students,177937,12192,165745,93.1,1037,252,24.3
4,6,2018-19,All Students,175172,12765,162407,92.7,1022,262,25.6
4,7,2013-14,All Students,185830,13325,172505,92.8,1071,248,23.2
4,7,2014-15,All Students,189036,14623,174413,92.3,1067,283,26.5
4,7,2015-16,All Students,184785,12532,172253,93.2,1073,252,23.5
4,7,2016-17,All Students,169208,13379,155829,92.1,992,264,26.6
4,7,2017-18,All Students,172759,12825,159934,92.6,1001,260,26.0
4,7,2018-19,All Students,175463,12909,162554,92.6,1024,259,25.3
4,8,2013-14,All Students,192467,16007,176460,91.7,1108,299,27.0
4,8,2014-15,All Students,188313,15578,172735,91.7,1059,294,27.8
4,8,2015-16,All Students,184603,15352,169251,91.7,1060,296,27.9
4,8,2016-17,All Students,177114,13818,163296,92.2,1032,287,27.8
4,8,2017-18,All Students,171554,14947,156607,91.3,991,310,31.3
4,8,2018-19,All Students,171717,14836,156881,91.4,992,310,31.3
4,9,2013-14,All Students,172873,15647,157226,90.9,1092,264,24.2
4,9,2014-15,All Students,170627,15744,154883,90.8,1048,257,24.5
4,9,2015-16,All Students,156948,11809,145139,92.5,985,193,19.6
4,9,2016-17,All Students,154126,9912,144214,93.6,970,169,17.4
4,9,2017-18,All Students,157015,11245,145770,92.8,994,189,19.0
4,9,2018-19,All Students,153247,8744,144503,94.3,952,147,15.4
4,10,2013-14,All Students,160778,15377,145401,90.4,1007,304,30.2
4,10,2014-15,All Students,169493,13251,156242,92.2,1051,249,23.7
4,10,2015-16,All Students,165451,14460,150991,91.3,1038,270,26.0
4,10,2016-17,All Students,150723,11234,139489,92.5,970,218,22.5
4,10,2017-18,All Students,160361,13307,147054,91.7,1019,231,22.7
4,10,2018-19,All Students,158188,11332,146856,92.8,986,191,19.4
4,11,2013-14,All Students,121987,10045,111942,91.8,758,195,25.7
4,11,2014-15,All Students,140503,12230,128273,91.3,854,241,28.2
4,11,2015-16,All Students,145791,10605,135186,92.7,904,190,21.0
4,11,2016-17,All Students,143092,10740,132352,92.5,895,192,21.5
4,11,2017-18,All Students,141133,10380,130753,92.6,886,190,21.4
4,11,2018-19,All Students,146013,10145,135868,93.1,899,182,20.2
4,12,2013-14,All Students,133502,16282,117220,87.8,832,335,40.3
4,12,2014-15,All Students,127837,14106,113731,89.0,776,268,34.5
4,12,2015-16,All Students,137318,16329,120989,88.1,852,322,37.8
4,12,2016-17,All Students,145045,15896,129149,89.0,900,295,32.8
4,12,2017-18,All Students,143330,16050,127280,88.8,894,340,38.0
4,12,2018-19,All Students,142104,13595,128509,90.4,866,257,29.7
5,All Grades,2013-14,All Students,2166425,249874,1916551,88.5,13343,5349,40.1
5,All Grades,2014-15,All Students,2132654,229253,1903401,89.3,12923,4808,37.2
5,All Grades,2015-16,All Students,2004759,210910,1793849,89.5,12394,4505,36.3
5,All Grades,2016-17,All Students,1925418,212565,1712853,89.0,12014,4558,37.9
5,All Grades,2017-18,All Students,1889314,202903,1686411,89.3,11745,4441,37.8
5,All Grades,2018-19,All Students,1824449,200923,1623526,89.0,11325,4476,39.5
5,PK in K-12 Schools,2013-14,All Students,79818,12318,67500,84.6,503,334,66.4
5,PK in K-12 Schools,2014-15,All Students,90574,13037,77537,85.6,576,339,58.9
5,PK in K-12 Schools,2015-16,All Students,78428,11377,67051,85.5,499,278,55.7
5,PK in K-12 Schools,2016-17,All Students,75805,10866,64939,85.7,494,287,58.1
5,PK in K-12 Schools,2017-18,All Students,70185,9927,60258,85.9,447,263,58.8
5,PK in K-12 Schools,2018-19,All Students,102086,14568,87518,85.7,654,404,61.8
5,0K,2013-14,All Students,151208,19358,131850,87.2,953,528,55.4
5,0K,2014-15,All Students,149124,18855,130269,87.4,918,474,51.6
5,0K,2015-16,All Students,140888,16509,124379,88.3,891,438,49.2
5,0K,2016-17,All Students,128620,15437,113183,88.0,827,396,47.9
5,0K,2017-18,All Students,120271,14298,105973,88.1,762,369,48.4
5,0K,2018-19,All Students,108659,14194,94465,86.9,690,371,53.8
5,1,2013-14,All Students,155473,17158,138315,89.0,973,424,43.6
5,1,2014-15,All Students,160624,17456,143168,89.1,983,443,45.1
5,1,2015-16,All Students,150554,15945,134609,89.4,947,418,44.1
5,1,2016-17,All Students,139780,14651,125129,89.5,886,378,42.7
5,1,2017-18,All Students,130074,14111,115963,89.2,804,363,45.1
5,1,2018-19,All Students,111516,11704,99812,89.5,693,297,42.9
5,2,2013-14,All Students,158654,16651,142003,89.5,974,408,41.9
5,2,2014-15,All Students,157028,14703,142325,90.6,934,337,36.1
