objectid,globalid,Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Legal Business Name,Doing Business As (DBA),Building Number,Street,Borough,Postcode,Business Address,Food Service Establishment Permit #,Sidewalk Dimensions (Length),Sidewalk Dimensions (Width),Sidewalk Dimensions (Area),Roadway Dimensions (Length),Roadway Dimensions (Width),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol,SLA Serial Number,SLA License Type,Landmark District or Building,landmarkDistrict_terms,healthCompliance_terms,Time of Submission,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
2213,{1b1a1fc2-a11c-4d55-83c9-d4d35bffb452},both,Merriweather Coffee + Kitchen,Merriweather Holdings LLC,Merriweather Holdings LLC,428,Hudson Street,Manhattan,10014,"428 Hudson Street, Manhattan, NY",50052917,16,6,96,16,8,128,yes,yes,no,,,yes,yes,yes,06/20/2020 12:38:00 PM,40.730636,-74.006776,2,3,67,1009777,1005830005,West Village
2716,{b6db7231-9a00-4ff3-87bc-54f6a8123ecb},sidewalk,East One Coffee Roasters,East One W23RD Street LLC,East One Coffee Roasters,170,W 23RD St,Manhattan,10011,"170 W 23RD St, Manhattan, NY",50094940,70,20,1400,,,,yes,no,no,,,no,,yes,06/20/2020 10:41:00 PM,40.743677,-73.994655,4,3,91,1068238,1007987502,Hudson Yards-Chelsea-Flatiron-Union Square
767,ed002d07-0298-49f7-8ef9-d7c2926ccd3c,sidewalk,le cafe coffee,le cafe 40 llc,le cafe 40 llc,1440,broadway,Manhattan,10018,"1440 broadway, Manhattan, NY",50093726,15,15,225,,,,yes,no,no,,,no,,yes,06/19/2020 01:51:00 PM,40.754611,-73.986761,5,4,113,1022563,1009930011,Midtown-Midtown South
5782,{55D881EC-BBB5-4749-8DE8-22A7671262C2},sidewalk,Blue Bottle Coffee,"Blue Bottle Coffee, INC","Blue Bottle Coffee, INC",450,West 15th street,Manhattan,10014,"450 West 15th street, Manhattan, NY",50050372,20,12,240,,,,yes,no,no,,,no,,yes,06/26/2020 03:46:00 PM,40.742463,-74.006842,4,3,83,1080355,1007120001,Hudson Yards-Chelsea-Flatiron-Union Square
568,65c5892e-db59-427f-8a31-d8a9ff6a239c,sidewalk,le cafe coffee,le petit raphael llc,le cafe coffee,7,east 14 st,Manhattan,10003,"7  east 14 st, Manhattan, NY",50002623,10,10,100,,,,yes,no,no,,,no,,yes,06/19/2020 01:10:00 PM,40.735859,-73.993245,5,2,52,1016062,1008420007,Hudson Yards-Chelsea-Flatiron-Union Square
7847,{9ACCEB01-534D-4762-89F3-F9C066957238},sidewalk,Gregorys Coffee,100 Coffee and Bakery LLC,100 Coffee and Bakery LLC,100,Wall St,Manhattan,10005,"100 Wall St, Manhattan, NY",50008017,75,50,3750,,,,yes,no,no,,,no,,yes,07/09/2020 12:04:00 PM,40.70497,-74.007084,1,1,7,1000875,1000380001,Battery Park City-Lower Manhattan
8924,{DF883A3F-7FAB-4390-8010-D3EE869051A7},roadway,Le cafe coffee,Le cafe 40 LLC,Le cafe coffee,1440,Broadway,Manhattan,10018,"1440 Broadway, Manhattan, NY",50093726,,,,22,8,176,no,yes,no,,,no,,yes,07/19/2020 09:49:00 PM,40.754611,-73.986761,5,4,113,1022563,1009930011,Midtown-Midtown South
9472,{63B46F7B-ADEC-438C-83A7-ECDBB3A0717B},sidewalk,Gregorys Coffee,551 Coffee and Bakery LLC,551 Coffee and Bakery LLC,551,Madison Ave,Manhattan,10022,"551 Madison Ave, Manhattan, NY",50055040,15,15,225,,,,yes,no,no,,,no,,yes,07/28/2020 02:41:00 PM,40.761081,-73.97323,5,4,102,1035770,1012910021,Midtown-Midtown South
1300,7bd0cd33-5a8b-4088-8b6b-1ed4f1460fc1,sidewalk,Gregorys Coffee,GG Coffee and Bakery LLC,GG Coffee and Bakery LLC,12,East 46th St,Manhattan,10017,"12 East 46th St, Manhattan, NY",50048642,20,10,200,,,,yes,no,no,,,no,,yes,06/19/2020 03:56:00 PM,40.755741,-73.978358,5,4,94,1035397,1012810062,Midtown-Midtown South
12897,{5EE607FE-C373-47CD-83FE-DD37C19BAD27},sidewalk,GROUND CENTRAL COFFEE COMPANY,501 SEVENTH GROUP LLC,GROUND CENTRAL COFFEE COMPANY,,888 8 AVENUE,Manhattan,10019,"888 8 AVENUE, Manhattan, NY",50070277,8,3,24,,,,yes,no,yes,Feb-79,TW,no,,yes,09/28/2021 12:27:00 PM,40.764072,-73.984791,5,3,131,1024825,1010240001,Midtown-Midtown South
