Name,Position,Empire State Building,Bronx Zoo,National Lighthouse Museum,FDR Four Freedom State Park,Citi Field,Coney Island,Hunter College
Empire State Building,"40.7484405, -73.98566439999999",1 min,3 hours 21 mins,1 hour 42 mins,35 mins,2 hours 37 mins,4 hours 28 mins,42 mins
Bronx Zoo,"40.8505949, -73.8769982",3 hours 20 mins,1 min,4 hours 58 mins,3 hours 38 mins,4 hours 9 mins,7 hours 40 mins,2 hours 42 mins
National Lighthouse Museum,"40.6407436, -74.07348759999999",1 hour 43 mins,4 hours 59 mins,1 min,2 hours 6 mins,3 hours 32 mins,4 hours 1 min,2 hours 21 mins
FDR Four Freedom State Park,"40.7506105, -73.96052399999999",36 mins,3 hours 38 mins,2 hours 6 mins,1 min,2 hours 8 mins,4 hours 32 mins,1 hour 2 mins
Citi Field,"40.7570877, -73.8458213",2 hours 38 mins,4 hours 9 mins,3 hours 31 mins,2 hours 8 mins,1 min,5 hours 32 mins,2 hours 41 mins
Coney Island,"40.5755438, -73.9707016",4 hours 28 mins,7 hours 42 mins,4 hours 1 min,4 hours 32 mins,5 hours 32 mins,1 min,5 hours 3 mins
Hunter College,"40.7678398, -73.9645291",41 mins,2 hours 42 mins,2 hours 19 mins,59 mins,2 hours 39 mins,5 hours 1 min,1 min
