Name,Position,Empire State Building,Bronx Zoo,National Lighthouse Museum,FDR Four Freedom State Park,Citi Field,Coney Island,Hunter College
Empire State Building,"40.7484405, -73.98566439999999",0 mins,55 mins,1 hour 19 mins,29 mins,40 mins,1 hour 1 min,21 mins
Bronx Zoo,"40.8505949, -73.8769982",55 mins,0 mins,1 hour 45 mins,1 hour 12 mins,1 hour 10 mins,1 hour 46 mins,1 hour 2 mins
National Lighthouse Museum,"40.6407436, -74.07348759999999",1 hour 39 mins,1 hour 53 mins,0 mins,1 hour 23 mins,1 hour 38 mins,1 hour 45 mins,1 hour 21 mins
FDR Four Freedom State Park,"40.7506105, -73.96052399999999",29 mins,1 hour 11 mins,1 hour 32 mins,0 mins,41 mins,1 hour 24 mins,37 mins
Citi Field,"40.7570877, -73.8458213",39 mins,1 hour 13 mins,1 hour 45 mins,41 mins,0 mins,1 hour 35 mins,35 mins
Coney Island,"40.5755438, -73.9707016",59 mins,2 hours 3 mins,1 hour 31 mins,1 hour 23 mins,1 hour 42 mins,0 mins,1 hour 10 mins
Hunter College,"40.7678398, -73.9645291",16 mins,1 hour 7 mins,1 hour 26 mins,24 mins,35 mins,1 hour 11 mins,0 mins
