CAD_EVNT_ID,CREATE_DATE,INCIDENT_DATE,INCIDENT_TIME,NYPD_PCT_CD,BORO_NM,PATRL_BORO_NM,GEO_CD_X,GEO_CD_Y,RADIO_CODE,TYP_DESC,CIP_JOBS,ADD_TS,DISP_TS,ARRIVD_TS,CLOSNG_TS,Latitude,Longitude
78128485,07/04/2021,07/04/2021,00:04:42,7,MANHATTAN,PATROL BORO MAN SOUTH,988107,199301,10Y3,INVESTIGATE/POSSIBLE CRIME: SERIOUS/OTHER,Non CIP,07/04/2021 12:04:43 AM,07/04/2021 12:09:09 AM,,07/04/2021 12:12:04 AM,40.713719,-73.986088
78128486,07/04/2021,07/04/2021,00:04:44,7,MANHATTAN,PATROL BORO MAN SOUTH,988049,200071,10Y3,INVESTIGATE/POSSIBLE CRIME: SERIOUS/OTHER,Non CIP,07/04/2021 12:04:44 AM,07/04/2021 12:05:10 AM,07/04/2021 12:39:15 AM,07/04/2021 12:39:25 AM,40.715833,-73.986297
78128490,07/04/2021,07/04/2021,00:05:01,25,MANHATTAN,PATROL BORO MAN NORTH,1001375,231978,75D,VISIBILITY PATROL: DIRECTED,Non CIP,07/04/2021 12:05:01 AM,07/04/2021 12:05:03 AM,07/04/2021 12:49:44 AM,07/04/2021 01:02:08 AM,40.803394,-73.938145
78128499,07/04/2021,07/04/2021,00:05:27,10,MANHATTAN,PATROL BORO MAN SOUTH,984213,209054,39H2,OTHER CRIMES (IN PROGRESS): HARASSMENT/OUTSIDE,Non Critical,07/04/2021 12:05:27 AM,07/04/2021 12:06:20 AM,07/04/2021 12:07:24 AM,07/04/2021 12:11:19 AM,40.740490,-74.000135
78128501,07/04/2021,07/04/2021,00:05:30,14,MANHATTAN,PATROL BORO MAN SOUTH,987472,214939,75O,TRAIN ORDER MAINTENANCE SWEEP (TOMS),Non CIP,07/04/2021 12:05:30 AM,07/04/2021 12:05:30 AM,07/04/2021 12:05:30 AM,07/04/2021 12:53:28 AM,40.756642,-73.988372
78128513,07/04/2021,07/04/2021,00:05:51,32,MANHATTAN,PATROL BORO MAN NORTH,1001223,241615,75S,STATION INSPECTION BY TRANSIT BUREAU PERSONNEL,Non CIP,07/04/2021 12:05:51 AM,07/04/2021 12:05:51 AM,07/04/2021 12:05:51 AM,07/04/2021 12:13:30 AM,40.829845,-73.938670
78128515,07/04/2021,07/04/2021,00:05:53,5,MANHATTAN,PATROL BORO MAN SOUTH,984656,197929,68Q1,SEE COMPLAINANT: OTHER/INSIDE,Non CIP,07/04/2021 12:05:54 AM,07/04/2021 12:05:54 AM,07/04/2021 12:05:54 AM,07/04/2021 12:16:16 AM,40.709954,-73.998537
78128518,07/04/2021,07/04/2021,00:05:57,28,MANHATTAN,PATROL BORO MAN NORTH,998495,229943,75D,VISIBILITY PATROL: DIRECTED,Non CIP,07/04/2021 12:05:58 AM,07/04/2021 12:05:58 AM,07/04/2021 12:05:58 AM,07/04/2021 12:25:51 AM,40.797813,-73.948552
78128521,07/04/2021,07/04/2021,00:06:11,14,MANHATTAN,PATROL BORO MAN SOUTH,988648,215208,10K2,INVESTIGATE/POSSIBLE CRIME: KNIFE/OUTSIDE,Non CIP,07/04/2021 12:06:11 AM,07/04/2021 12:07:05 AM,07/04/2021 12:11:13 AM,07/04/2021 12:12:40 AM,40.757380,-73.984127
78128523,07/04/2021,07/04/2021,00:06:12,26,MANHATTAN,PATROL BORO MAN NORTH,994150,233550,54C1,AMBULANCE CASE: CARDIAC/INSIDE,Non CIP,07/04/2021 12:06:12 AM,07/04/2021 12:07:58 AM,07/04/2021 12:10:14 AM,07/04/2021 12:16:15 AM,40.807719,-73.964240
78128534,07/04/2021,07/04/2021,00:06:38,18,MANHATTAN,PATROL BORO MAN SOUTH,989310,218934,75O,TRAIN ORDER MAINTENANCE SWEEP (TOMS),Non CIP,07/04/2021 12:06:38 AM,07/04/2021 12:06:39 AM,07/04/2021 12:06:39 AM,07/04/2021 01:02:11 AM,40.767606,-73.981734
78128538,07/04/2021,07/04/2021,00:06:48,32,MANHATTAN,PATROL BORO MAN NORTH,999760,238464,75D,VISIBILITY PATROL: DIRECTED,Non CIP,07/04/2021 12:06:48 AM,07/04/2021 12:06:50 AM,07/04/2021 12:54:28 AM,07/04/2021 01:45:01 AM,40.821199,-73.943963
78128542,07/04/2021,07/04/2021,00:06:55,23,MANHATTAN,PATROL BORO MAN NORTH,1001120,226492,10Y3,INVESTIGATE/POSSIBLE CRIME: SERIOUS/OTHER,Non CIP,07/04/2021 12:06:55 AM,07/04/2021 12:25:31 AM,07/04/2021 01:44:09 AM,07/04/2021 01:45:19 AM,40.788337,-73.939080
78128543,07/04/2021,07/04/2021,00:06:58,33,MANHATTAN,PATROL BORO MAN NORTH,1000808,247607,75S,STATION INSPECTION BY TRANSIT BUREAU PERSONNEL,Non CIP,07/04/2021 12:06:58 AM,07/04/2021 12:06:58 AM,07/04/2021 12:06:58 AM,07/04/2021 12:44:32 AM,40.846292,-73.940154
78128549,07/04/2021,07/04/2021,00:07:07,13,MANHATTAN,PATROL BORO MAN SOUTH,986749,207498,50G2,DISORDERLY: GROUP/OUTSIDE,Non CIP,07/04/2021 12:07:08 AM,07/04/2021 12:10:59 AM,,07/04/2021 01:49:01 AM,40.736219,-73.990984
78128550,07/04/2021,07/04/2021,00:07:11,33,MANHATTAN,PATROL BORO MAN NORTH,1000837,245624,75M,TRAIN RUN/MOBILE ORDER MAINTENANCE SWEEP,Non CIP,07/04/2021 12:07:11 AM,07/04/2021 12:07:11 AM,07/04/2021 12:07:11 AM,07/04/2021 12:20:24 AM,40.840849,-73.940055
78128552,07/04/2021,07/04/2021,00:07:23,28,MANHATTAN,PATROL BORO MAN NORTH,997041,232434,75C,COMMUNITY TIME,Non CIP,07/04/2021 12:07:23 AM,07/04/2021 12:07:24 AM,07/04/2021 12:13:54 AM,07/04/2021 12:21:50 AM,40.804653,-73.953799
78128557,07/04/2021,07/04/2021,00:07:38,19,MANHATTAN,PATROL BORO MAN NORTH,998445,221897,68Q1,SEE COMPLAINANT: OTHER/INSIDE,Non CIP,07/04/2021 12:07:38 AM,07/04/2021 12:07:39 AM,07/04/2021 12:07:39 AM,07/04/2021 02:25:32 AM,40.775729,-73.948750
78128567,07/04/2021,07/04/2021,00:07:58,13,MANHATTAN,PATROL BORO MAN SOUTH,989151,205852,75D,VISIBILITY PATROL: DIRECTED,Non CIP,07/04/2021 12:07:58 AM,07/04/2021 12:07:58 AM,07/04/2021 12:07:58 AM,07/04/2021 12:53:45 AM,40.731700,-73.982318
78128568,07/04/2021,07/04/2021,00:07:59,28,MANHATTAN,PATROL BORO MAN NORTH,998730,234385,68Q1,SEE COMPLAINANT: OTHER/INSIDE,Non CIP,07/04/2021 12:08:00 AM,07/04/2021 01:34:35 AM,07/04/2021 01:51:31 AM,07/04/2021 02:06:23 AM,40.810005,-73.947694
78128570,07/04/2021,07/04/2021,00:08:01,9,MANHATTAN,PATROL BORO MAN SOUTH,986886,204012,68Q1,SEE COMPLAINANT: OTHER/INSIDE,Non CIP,07/04/2021 12:08:01 AM,07/04/2021 12:08:01 AM,07/04/2021 12:08:01 AM,07/04/2021 12:30:54 AM,40.726650,-73.990491
78128581,07/04/2021,07/04/2021,00:08:32,30,MANHATTAN,PATROL BORO MAN NORTH,999666,239429,53I,VEHICLE ACCIDENT: INJURY,Non CIP,07/04/2021 12:08:32 AM,07/04/2021 12:09:55 AM,07/04/2021 12:12:05 AM,07/04/2021 02:14:48 AM,40.823848,-73.944301
78128587,07/04/2021,07/04/2021,00:08:44,34,MANHATTAN,PATROL BORO MAN NORTH,1005944,254287,75D,VISIBILITY PATROL: DIRECTED,Non CIP,07/04/2021 12:08:44 AM,07/04/2021 12:08:46 AM,07/04/2021 12:11:28 AM,07/04/2021 03:50:42 AM,40.864615,-73.921569
78128611,07/04/2021,07/04/2021,00:09:39,23,MANHATTAN,PATROL BORO MAN NORTH,1002309,228867,68Q1,SEE COMPLAINANT: OTHER/INSIDE,Non CIP,07/04/2021 12:09:39 AM,07/04/2021 12:09:39 AM,07/04/2021 12:09:39 AM,07/04/2021 12:22:12 AM,40.794853,-73.934780
78128622,07/04/2021,07/04/2021,00:10:03,17,MANHATTAN,PATROL BORO MAN SOUTH,992096,215233,75S,STATION INSPECTION BY TRANSIT BUREAU PERSONNEL,Non CIP,07/04/2021 12:10:03 AM,07/04/2021 12:10:04 AM,07/04/2021 12:10:04 AM,07/04/2021 12:18:30 AM,40.757446,-73.971681
78128624,07/04/2021,07/04/2021,00:10:06,9,MANHATTAN,PATROL BORO MAN SOUTH,986998,204231,59R4,FIRE: FIRE MULTI DWELLING,Non CIP,07/04/2021 12:10:07 AM,07/04/2021 12:12:09 AM,07/04/2021 12:50:35 AM,07/04/2021 12:50:38 AM,40.727251,-73.990087
78128627,07/04/2021,07/04/2021,00:10:10,9,MANHATTAN,PATROL BORO MAN SOUTH,987253,203199,75D,VISIBILITY PATROL: DIRECTED,Non CIP,07/04/2021 12:10:10 AM,07/04/2021 12:10:10 AM,07/04/2021 12:10:10 AM,07/04/2021 12:15:50 AM,40.724419,-73.989167
78128641,07/04/2021,07/04/2021,00:10:38,1,MANHATTAN,PATROL BORO MAN SOUTH,980492,198149,75D,VISIBILITY PATROL: DIRECTED,Non CIP,07/04/2021 12:10:38 AM,07/04/2021 12:10:43 AM,,07/04/2021 12:20:16 AM,40.710557,-74.013557
78128645,07/04/2021,07/04/2021,00:10:40,10,MANHATTAN,PATROL BORO MAN SOUTH,985236,215866,75H,HOUSE OF WORSHIP VISIT,Non CIP,07/04/2021 12:10:40 AM,07/04/2021 12:10:40 AM,07/04/2021 12:10:40 AM,07/04/2021 12:50:03 AM,40.759187,-73.996442
78128650,07/04/2021,07/04/2021,00:10:57,17,MANHATTAN,PATROL BORO MAN SOUTH,991108,212925,75D,VISIBILITY PATROL: DIRECTED,Non CIP,07/04/2021 12:10:57 AM,07/04/2021 12:10:57 AM,07/04/2021 12:10:57 AM,07/04/2021 12:55:38 AM,40.751112,-73.975249
78128662,07/04/2021,07/04/2021,00:11:27,7,MANHATTAN,PATROL BORO MAN SOUTH,987536,202083,75D,VISIBILITY PATROL: DIRECTED,Non CIP,07/04/2021 12:11:27 AM,07/04/2021 12:11:27 AM,07/04/2021 12:11:27 AM,07/04/2021 12:45:38 AM,40.721355,-73.988147
78128663,07/04/2021,07/04/2021,00:11:27,25,MANHATTAN,PATROL BORO MAN NORTH,1002332,235813,53S,VEHICLE ACCIDENT: SPECIAL CONDITION,Non CIP,07/04/2021 12:11:28 AM,07/04/2021 12:13:08 AM,07/04/2021 12:38:38 AM,07/04/2021 01:58:53 AM,40.813918,-73.934678
78128673,07/04/2021,07/04/2021,00:11:51,26,MANHATTAN,PATROL BORO MAN NORTH,997334,237085,50G2,DISORDERLY: GROUP/OUTSIDE,Non CIP,07/04/2021 12:11:51 AM,07/04/2021 12:12:40 AM,07/04/2021 12:46:52 AM,07/04/2021 12:46:59 AM,40.817418,-73.952731
78128679,07/04/2021,07/04/2021,00:12:12,6,MANHATTAN,PATROL BORO MAN SOUTH,984047,205968,54S9,AMBULANCE CASE: SERIOUS/TRANSIT,Non CIP,07/04/2021 12:12:12 AM,07/04/2021 12:12:12 AM,07/04/2021 12:12:12 AM,07/04/2021 12:29:15 AM,40.732019,-74.000734
78128682,07/04/2021,07/04/2021,00:12:19,32,MANHATTAN,PATROL BORO MAN NORTH,999660,235948,75D,VISIBILITY PATROL: DIRECTED,Non CIP,07/04/2021 12:12:19 AM,07/04/2021 12:12:21 AM,07/04/2021 12:16:42 AM,07/04/2021 12:43:06 AM,40.814293,-73.944331
78128690,07/04/2021,07/04/2021,00:12:38,23,MANHATTAN,PATROL BORO MAN NORTH,998829,226859,54E1,AMBULANCE CASE: EDP/INSIDE,Non CIP,07/04/2021 12:12:38 AM,07/04/2021 12:15:00 AM,,07/04/2021 12:57:07 AM,40.789348,-73.947352
