CAD_EVNT_ID,CREATE_DATE,INCIDENT_DATE,INCIDENT_TIME,NYPD_PCT_CD,BORO_NM,PATRL_BORO_NM,GEO_CD_X,GEO_CD_Y,RADIO_CODE,TYP_DESC,CIP_JOBS,ADD_TS,DISP_TS,ARRIVD_TS,CLOSNG_TS,Latitude,Longitude
73974015,01/01/2021,01/01/2021,00:01:55,13,MANHATTAN,PATROL BORO MAN SOUTH,989333,209720,75B,BUS INVESTIGATION,Non CIP,01/01/2021 12:01:55 AM,01/01/2021 12:01:55 AM,01/01/2021 12:01:55 AM,01/01/2021 12:11:53 AM,40.742316,-73.981658
73974016,01/01/2021,01/01/2021,00:01:58,90,BROOKLYN,PATROL BORO BKLYN NORTH,998177,197814,34Q6,ASSAULT (IN PROGRESS): OTHER/FAMILY,Serious,01/01/2021 12:01:58 AM,01/01/2021 12:02:30 AM,01/01/2021 12:32:20 AM,01/01/2021 12:46:55 AM,40.709628,-73.949767
73974017,01/01/2021,01/01/2021,00:02:01,109,QUEENS,PATROL BORO QUEENS NORTH,1032030,215260,10H2,INVESTIGATE/POSSIBLE CRIME: CALLS FOR HELP/OUTSIDE,Non CIP,01/01/2021 12:02:02 AM,01/01/2021 12:08:14 AM,,01/01/2021 12:09:28 AM,40.757395,-73.827537
73974018,01/01/2021,01/01/2021,00:02:06,104,QUEENS,PATROL BORO QUEENS NORTH,1010051,193910,68Q1,SEE COMPLAINANT: OTHER/INSIDE,Non CIP,01/01/2021 12:02:06 AM,01/01/2021 12:02:06 AM,01/01/2021 12:02:06 AM,01/01/2021 12:47:53 AM,40.698886,-73.906953
73974019,01/01/2021,01/01/2021,00:02:11,52,BRONX,PATROL BORO BRONX,1014439,256418,54S1,AMBULANCE CASE: SERIOUS/INSIDE,Non CIP,01/01/2021 12:02:12 AM,01/01/2021 12:25:09 AM,,01/01/2021 12:49:42 AM,40.870439,-73.890847
73974020,01/01/2021,01/01/2021,00:02:13,61,BROOKLYN,PATROL BORO BKLYN SOUTH,996505,154612,11R4,ALARMS: RESIDENTIAL/BURGLARY,Non CIP,01/01/2021 12:07:42 AM,01/01/2021 12:08:25 AM,01/01/2021 12:08:33 AM,01/01/2021 12:12:17 AM,40.591050,-73.955876
73974021,01/01/2021,01/01/2021,00:02:23,107,QUEENS,PATROL BORO QUEENS SOUTH,1036009,205782,10Y3,INVESTIGATE/POSSIBLE CRIME: SERIOUS/OTHER,Non CIP,01/01/2021 12:02:24 AM,01/01/2021 12:11:45 AM,,01/01/2021 12:51:34 AM,40.731358,-73.813247
73974022,01/01/2021,01/01/2021,00:02:25,84,BROOKLYN,PATROL BORO BKLYN NORTH,987309,190698,68Q1,SEE COMPLAINANT: OTHER/INSIDE,Non CIP,01/01/2021 12:02:26 AM,01/01/2021 12:02:28 AM,01/01/2021 12:10:48 AM,01/01/2021 02:33:59 AM,40.690106,-73.988971
73974023,01/01/2021,01/01/2021,00:02:26,114,QUEENS,PATROL BORO QUEENS NORTH,1005115,219246,10Y3,INVESTIGATE/POSSIBLE CRIME: SERIOUS/OTHER,Non CIP,01/01/2021 12:02:26 AM,01/01/2021 12:21:34 AM,,01/01/2021 02:42:20 AM,40.768440,-73.924675
73974025,01/01/2021,01/01/2021,00:02:29,67,BROOKLYN,PATROL BORO BKLYN SOUTH,1004400,179970,10S4,SHOT SPOTTER,Critical,01/01/2021 12:02:29 AM,01/01/2021 12:02:44 AM,,01/01/2021 01:04:50 AM,40.660638,-73.927374
